entry,numberOfJets,numberOfBJets,met,jetPtRec[0],jetPtRec[1],jetPtRec[2],jetPtRec[3],jetEtaRec[0],jetEtaRec[1],jetEtaRec[2],jetEtaRec[3],jetPhiRec[0],jetPhiRec[1],jetPhiRec[2],jetPhiRec[3],jetMass[0],jetMass[1],jetMass[2],jetMass[3]
1894,6,0,301.102,254.097,156.345,79.254,58.7303,-0.452286,1.16939,-2.34502,-0.903564,2.9047,2.67909,0.463596,-2.87108,25.2115,22.5243,11.5918,8.49782
1895,3,0,503.789,377.009,187.177,111.277,-1,-1.03725,2.06562,-2.00983,0,2.77775,2.38796,-1.79589,0,32.6131,21.9248,9.4266,0
1896,1,0,403.105,354.299,-1,-1,-1,0.617934,0,0,0,-1.89134,0,0,0,25.3185,0,0,0
1897,2,0,240.085,391.7,120.223,-1,-1,-0.160542,-1.12517,0,0,2.88491,-0.162131,0,0,49.5939,14.3507,0,0
1898,1,0,185.738,195.366,-1,-1,-1,0.994609,0,0,0,2.92898,0,0,0,25.8734,0,0,0
1899,4,0,223.499,131.916,87.7269,59.8409,48.0089,-1.45312,-0.217028,-0.486309,-2.0468,1.25913,-1.24687,1.13593,-2.21764,18.2729,10.6009,8.16023,5.71143
1900,1,0,146.824,175.171,-1,-1,-1,-0.916395,0,0,0,1.59649,0,0,0,21.8112,0,0,0
1901,2,0,209.144,216.526,96.0357,-1,-1,-2.35139,-0.546178,0,0,-0.445865,-1.74331,0,0,21.8253,13.1701,0,0
1902,2,0,233.841,201.861,54.0296,-1,-1,-0.69923,-2.13186,0,0,1.92533,1.82035,0,0,14.696,10.4917,0,0
1903,1,0,195.151,208.806,-1,-1,-1,1.42103,0,0,0,1.6522,0,0,0,18.8161,0,0,0
1904,3,0,519.801,442.383,165.109,64.9148,-1,0.0592438,2.25371,-1.81452,0,-0.985693,-0.32166,2.53451,0,51.9702,16.0302,11.1234,0
1905,1,0,316.378,401.568,-1,-1,-1,-0.883673,0,0,0,2.22533,0,0,0,42.7171,0,0,0
1906,2,0,239.932,178.998,48.4665,-1,-1,0.0777019,-1.14953,0,0,-2.75322,-2.88423,0,0,22.0106,10.4338,0,0
1907,2,0,245.641,113.232,64.6369,-1,-1,-1.25686,0.665113,0,0,0.930634,1.00391,0,0,12.1575,9.57134,0,0
1908,1,0,260.211,283.486,-1,-1,-1,-1.03585,0,0,0,1.6288,0,0,0,18.7887,0,0,0
1909,2,0,225.989,227.945,43.1053,-1,-1,-1.95739,0.819755,0,0,-1.28191,-2.23554,0,0,32.2646,7.34124,0,0
1910,1,0,225.825,230.984,-1,-1,-1,-0.0206819,0,0,0,-0.250186,0,0,0,19.0681,0,0,0
1911,3,0,369.574,317.745,199.248,134.953,-1,1.32579,-2.27176,-1.01173,0,-1.90429,0.562901,-0.280399,0,26.0335,35.0487,16.3527,0
1912,3,0,413.706,505.576,141.992,83.5502,-1,1.26524,0.72621,0.436103,0,-2.54426,0.922197,1.81065,0,51.4838,25.9455,13.4883,0
1913,3,0,297.799,190.172,59.0617,54.4428,-1,0.341644,-1.37616,-0.639391,0,-0.0412526,-0.571453,-0.570805,0,42.5638,7.81124,9.0318,0
1914,2,0,345.567,290.519,76.2173,-1,-1,1.84409,1.23828,0,0,1.35982,0.616655,0,0,20.4783,13.1395,0,0
1915,3,0,126.031,217.778,105.204,68.736,-1,-0.973069,1.19687,1.55072,0,1.52089,-2.63804,-1.28753,0,18.0166,15.9264,10.6882,0
1916,2,0,89.6077,185.197,64.0464,-1,-1,1.71955,-1.54509,0,0,0.637474,-1.99608,0,0,19.318,8.87929,0,0
1917,1,0,254.538,284.291,-1,-1,-1,-0.427554,0,0,0,1.91028,0,0,0,18.7978,0,0,0
1918,1,0,429.075,469.194,-1,-1,-1,0.964123,0,0,0,0.37239,0,0,0,38.7832,0,0,0
1919,1,0,264.905,266.941,-1,-1,-1,0.77746,0,0,0,-1.25548,0,0,0,54.2766,0,0,0
1920,1,0,225.356,284.43,-1,-1,-1,2.08154,0,0,0,2.88874,0,0,0,13.6587,0,0,0
1921,1,0,183.64,194.544,-1,-1,-1,0.474814,0,0,0,0.699727,0,0,0,30.426,0,0,0
1922,1,0,376.384,342.979,-1,-1,-1,-0.557405,0,0,0,-0.347043,0,0,0,24.448,0,0,0
